Название видео,Тип видео,Клики по элементам конечной заставки,Показы элементов конечной заставки,Показы тизеров,Постоянные зрители,Новые зрители,Среднее число просмотров одним пользователем,Уникальные зрители,Средний процент просмотра (%),Отказались от подписки,Новые подписчики,Новые комментарии,Поделились,"Отметки ""Не нравится""","Отметки ""Нравится""",Просмотры,Время просмотра (часы),Подписчики,Показы,CTR для значков видео (%)
Формула для вычисления ковариации. Ответы,Ответы,0.0,12.0,6.0,11.0,32.0,1.186,43.0,31.6,0.0,0.0,0.0,0.0,0.0,-1.0,51.0,1.3385,0.0,151.0,1.32
Определенный интеграл с переменным верхним пределом. Тема,Тема,0.0,10.0,3.0,15.0,9.0,1.2083,24.0,24.4,0.0,0.0,0.0,0.0,0.0,-1.0,29.0,1.3365,0.0,119.0,10.08
Массивы numpy. Операции shape и reshape,Другое,0.0,24.0,0.0,9.0,12.0,1.1905,21.0,35.84,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.334,0.0,365.0,3.56
Дополнительные миноры и алгебраические дополнения. Вопросы,Вопросы,0.0,152.0,11.0,79.0,6.0,1.2,85.0,43.83,0.0,0.0,0.0,0.0,0.0,1.0,102.0,1.304,0.0,765.0,6.54
Процесс ортогонализации Грама-Шмидта. Еще один пример,Пример,0.0,36.0,0.0,53.0,3.0,1.15,60.0,15.35,0.0,0.0,0.0,0.0,0.0,2.0,69.0,1.2974,0.0,1007.0,4.87
Односторонние пределы. Ответы,Ответы,0.0,28.0,0.0,19.0,11.0,1.2667,30.0,35.67,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.2954,0.0,287.0,6.27
График функции двух переменных. Ответы,Ответы,0.0,0.0,0.0,10.0,10.0,1.2,20.0,38.79,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.262,0.0,189.0,3.17
Матрица линейного отображения в новых базисах. Вопросы,Вопросы,1.0,77.0,1.0,94.0,14.0,1.6111,108.0,20.49,0.0,0.0,0.0,0.0,0.0,1.0,174.0,1.2574,0.0,561.0,5.17
Эллипсы. Тема,Тема,0.0,32.0,0.0,18.0,15.0,1.0882,34.0,22.41,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.2532,0.0,418.0,3.59
Максимальные и минимальные значения функции двух переменных. Тема,Тема,0.0,8.0,0.0,9.0,15.0,1.0417,24.0,20.3,0.0,0.0,0.0,0.0,0.0,2.0,25.0,1.2491,0.0,120.0,4.17
Таблица производных. Тема,Тема,0.0,30.0,0.0,15.0,15.0,1.1786,28.0,39.17,0.0,0.0,0.0,0.0,0.0,1.0,33.0,1.2216,0.0,167.0,7.78
Датафреймы pandas. Замена строковых значений на числовые,Другое,0.0,12.0,0.0,13.0,23.0,1.1622,37.0,26.47,0.0,0.0,0.0,0.0,0.0,0.0,43.0,1.2045,0.0,414.0,3.62
Вычисление обратных матриц по методу Гаусса. Ответы,Ответы,0.0,104.0,0.0,58.0,1.0,1.339,59.0,42.68,0.0,0.0,0.0,0.0,0.0,1.0,79.0,1.1894,0.0,447.0,5.15
Разложение по базису. Ответы,Ответы,0.0,65.0,0.0,24.0,4.0,1.4483,29.0,43.17,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1.1885,0.0,431.0,4.64
Разложения определителей. Вопросы,Вопросы,1.0,69.0,5.0,66.0,0.0,1.197,66.0,49.18,0.0,0.0,0.0,0.0,0.0,1.0,79.0,1.1872,0.0,595.0,5.38
Линейные операторы. Вопросы,Вопросы,0.0,40.0,5.0,47.0,2.0,1.1,50.0,29.75,0.0,0.0,0.0,0.0,0.0,1.0,55.0,1.1818,0.0,1172.0,3.16
Кейс Diamonds. Кодирование категориальных данных методом OneHotEncoding,Другое,0.0,12.0,0.0,7.0,7.0,1.5333,15.0,36.69,0.0,0.0,0.0,0.0,0.0,1.0,23.0,1.1792,0.0,421.0,1.9
Регрессионный анализ временных рядов. Пример,Пример,0.0,12.0,0.0,17.0,9.0,1.0714,28.0,9.52,0.0,0.0,0.0,0.0,0.0,1.0,30.0,1.1593,0.0,380.0,5.53
Умножение вероятностей. Ответы,Ответы,0.0,24.0,0.0,26.0,0.0,1.1538,26.0,61.27,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.1591,0.0,165.0,4.85
Размещения. Ответы,Ответы,1.0,33.0,0.0,36.0,1.0,1.3784,37.0,48.7,0.0,0.0,0.0,0.0,0.0,-1.0,51.0,1.1383,0.0,237.0,7.17
Возрастание и убывание функций. Тема,Тема,0.0,8.0,0.0,19.0,12.0,1.25,32.0,16.14,0.0,1.0,0.0,0.0,0.0,0.0,40.0,1.135,1.0,168.0,3.57
Последовательности. Ответы,Ответы,0.0,28.0,0.0,32.0,4.0,1.25,36.0,28.6,0.0,0.0,0.0,0.0,0.0,2.0,45.0,1.101,0.0,350.0,6.29
Векторные пространства. Вопросы,Вопросы,0.0,58.0,0.0,45.0,0.0,1.3913,46.0,40.6,0.0,0.0,1.0,0.0,0.0,0.0,64.0,1.0899,0.0,791.0,3.54
Непрерывность. Ответы,Ответы,0.0,24.0,0.0,11.0,0.0,1.25,12.0,55.18,0.0,0.0,0.0,0.0,0.0,1.0,15.0,1.0805,0.0,39.0,10.26
Интерполяция. Ответы,Ответы,0.0,20.0,0.0,20.0,3.0,1.2917,24.0,29.91,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0715,0.0,141.0,9.93
Действие линейного оператора в матричной форме. Ответы,Ответы,1.0,33.0,0.0,14.0,1.0,1.8,15.0,27.11,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0675,0.0,422.0,4.03
Комбинаторный принцип умножения возможностей. Ответы,Ответы,1.0,49.0,4.0,38.0,0.0,1.1842,38.0,61.57,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0544,0.0,203.0,8.37
Линейная регрессия в sklearn. Непосредственный прогноз и метод predict,Другое,1.0,29.0,0.0,8.0,7.0,2.4,15.0,31.62,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0499,0.0,403.0,5.46
Точки перегиба. Тема,Тема,1.0,13.0,0.0,6.0,1.0,1.2857,7.0,50.93,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.048,0.0,80.0,2.5
Геометрическое распределение. Ответы,Ответы,0.0,32.0,0.0,20.0,1.0,1.0476,21.0,57.9,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0438,0.0,150.0,5.33
Как со мной связаться. WhatsApp,Другое,0.0,0.0,3.0,76.0,5.0,1.1325,83.0,20.28,0.0,0.0,0.0,1.0,0.0,0.0,94.0,1.0433,0.0,81.0,1.23
Сочетания. Ответы,Ответы,0.0,28.0,0.0,32.0,0.0,1.2188,32.0,58.16,0.0,0.0,0.0,0.0,0.0,-1.0,39.0,1.0333,0.0,220.0,5.0
Симметрические операторы. Тема,Тема,1.0,41.0,0.0,25.0,5.0,1.3125,32.0,23.18,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1.0248,0.0,585.0,4.96
Формулы Бейеса. Ответы,Ответы,0.0,32.0,0.0,27.0,0.0,1.0741,27.0,62.75,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0211,0.0,149.0,2.68
Линейная регрессия методом ортогональных проекций. Еще один пример,Пример,0.0,4.0,0.0,11.0,1.0,1.0,12.0,25.17,0.0,0.0,0.0,0.0,0.0,2.0,12.0,1.0126,0.0,402.0,1.49
Полиномиальная регрессия. Построение и обучение квадратичной модели,Другое,0.0,48.0,0.0,16.0,22.0,1.1538,39.0,36.77,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0111,0.0,379.0,2.64
Вычисление характеристического многочлена при помощи инвариантов. Тема,Тема,0.0,16.0,0.0,19.0,4.0,1.3077,26.0,26.63,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1.0036,0.0,416.0,3.85
Матрица линейного оператора. Ответы,Ответы,0.0,32.0,0.0,24.0,0.0,1.0833,24.0,30.63,0.0,0.0,1.0,0.0,0.0,1.0,26.0,0.9997,0.0,450.0,3.11
Аддитивность определенного интеграла. Тема,Тема,0.0,17.0,0.0,15.0,10.0,1.32,25.0,26.46,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.997,0.0,135.0,10.37
Полиномиальная регрессия. Построение и обучение линейной модели,Другое,1.0,45.0,0.0,14.0,13.0,1.0714,28.0,38.4,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.9919,0.0,462.0,4.11
Обратные матрицы. Вопросы,Вопросы,1.0,49.0,0.0,75.0,1.0,1.3158,76.0,39.0,0.0,0.0,0.0,0.0,0.0,3.0,100.0,0.9858,0.0,625.0,5.6
Сложение вероятностей в общем случае. Ответы,Ответы,1.0,33.0,0.0,22.0,0.0,1.3182,22.0,55.32,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.9803,0.0,171.0,2.92
Сочетания. Вопросы,Вопросы,1.0,25.0,0.0,28.0,1.0,1.2414,29.0,58.31,0.0,0.0,0.0,0.0,0.0,-1.0,36.0,0.9622,0.0,278.0,4.68
Матричные уравнения. Тема,Тема,0.0,20.0,0.0,12.0,22.0,1.1818,33.0,14.27,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.9506,0.0,224.0,7.14
Определение производной. Ответы,Ответы,1.0,26.0,0.0,14.0,1.0,1.2667,15.0,39.68,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.9466,1.0,166.0,6.63
Действие линейного оператора в матричной форме. Продолжение. Ответы,Ответы,0.0,12.0,0.0,14.0,0.0,1.1429,14.0,32.55,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.9404,0.0,392.0,2.04
Элементарные исходы. Вопросы,Вопросы,0.0,28.0,5.0,34.0,1.0,1.1111,36.0,63.11,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.9397,0.0,259.0,6.18
Сложение вероятностей в несовместном случае. Ответы,Ответы,1.0,37.0,0.0,28.0,0.0,1.1429,28.0,56.38,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.9271,0.0,155.0,3.87
Криволинейный интеграл первого рода. Ответы,Ответы,0.0,32.0,13.0,31.0,0.0,1.3548,31.0,33.52,0.0,0.0,0.0,0.0,0.0,2.0,42.0,0.9228,0.0,530.0,6.6
Первообразная и неопределенный интеграл. Тема,Тема,0.0,16.0,8.0,20.0,7.0,1.1852,27.0,19.77,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.9207,0.0,126.0,9.52
Ядро и образ линейного оператора. Ответы,Ответы,0.0,44.0,5.0,35.0,3.0,1.1026,39.0,30.32,0.0,1.0,0.0,1.0,0.0,0.0,43.0,0.909,1.0,490.0,4.9
Правильные области. Тема,Тема,0.0,0.0,0.0,9.0,10.0,1.35,20.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.9011,0.0,115.0,6.96
Среднее значение функции двух переменных на компактной области. Тема,Тема,0.0,8.0,0.0,14.0,12.0,1.1481,27.0,24.98,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.8948,0.0,161.0,4.97
Комбинаторный принцип умножения возможностей. Вопросы,Вопросы,0.0,32.0,0.0,32.0,1.0,1.2121,33.0,61.17,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.8835,0.0,226.0,4.87
Экстремумы. Тема,Тема,0.0,0.0,0.0,9.0,6.0,1.2,15.0,28.95,0.0,0.0,0.0,0.0,0.0,-1.0,18.0,0.8802,0.0,101.0,11.88
Вертикальные и горизонтальные асимптоты. Ответы,Ответы,2.0,18.0,0.0,9.0,19.0,1.0667,30.0,35.94,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.869,0.0,218.0,8.72
Отбор компонент. Комбинаторное исключение компонент,Другое,0.0,0.0,0.0,8.0,0.0,1.125,8.0,31.29,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.8683,0.0,416.0,0.24
Вычисление обратных матриц по методу Гаусса. Вопросы,Вопросы,2.0,93.0,0.0,63.0,1.0,1.2031,64.0,36.57,0.0,0.0,0.0,0.0,0.0,2.0,77.0,0.8682,0.0,551.0,4.54
Свойства ковариации. Тема,Тема,1.0,29.0,4.0,14.0,1.0,1.0667,15.0,39.76,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.8606,0.0,203.0,5.91
Линейная регрессия в sklearn. Параметр fit_intercept,Другое,0.0,24.0,0.0,13.0,19.0,1.125,32.0,39.38,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.8546,0.0,314.0,1.59
Независимость криволинейного интеграла второго рода от контура. Тема,Тема,0.0,8.0,5.0,14.0,12.0,1.1034,29.0,21.2,1.0,1.0,0.0,2.0,0.0,0.0,32.0,0.8518,0.0,228.0,3.95
Перестановки. Вопросы,Вопросы,2.0,50.0,0.0,44.0,0.0,1.1087,46.0,46.93,0.0,1.0,0.0,0.0,0.0,0.0,51.0,0.851,1.0,407.0,5.9
Вычисление криволинейного интеграла первого рода в явном случае. Ответы,Ответы,0.0,12.0,0.0,21.0,1.0,1.1818,22.0,30.7,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.8426,0.0,370.0,5.14
Базис и размерность. Вопросы,Вопросы,1.0,53.0,0.0,47.0,0.0,1.1224,49.0,45.61,0.0,0.0,0.0,0.0,0.0,1.0,55.0,0.8362,0.0,799.0,3.88
Умножение вероятностей. Вопросы,Вопросы,0.0,24.0,0.0,25.0,0.0,1.36,25.0,44.49,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.832,0.0,203.0,4.43
Теорема Кронекера-Капелли. Вопросы,Вопросы,0.0,56.0,5.0,54.0,4.0,1.1186,59.0,29.98,0.0,1.0,0.0,0.0,0.0,2.0,66.0,0.83,1.0,814.0,4.55
Равномерное распределение. Ответы,Ответы,0.0,24.0,0.0,18.0,0.0,1.1111,18.0,59.23,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.8227,0.0,100.0,5.0
Линейные оболочки. Вопросы,Вопросы,0.0,60.0,3.0,46.0,5.0,1.2308,52.0,32.43,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.8187,0.0,772.0,5.31
Матрица линейного отображения. Ответы,Ответы,0.0,12.0,0.0,20.0,1.0,1.1905,21.0,26.83,0.0,0.0,0.0,0.0,0.0,2.0,25.0,0.8178,0.0,407.0,3.93
Предел последовательности. Ответы,Ответы,0.0,28.0,0.0,21.0,0.0,1.1429,21.0,45.08,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.8175,0.0,255.0,4.31
Алгебра случайных событий. Вопросы,Вопросы,0.0,28.0,0.0,31.0,0.0,1.2258,31.0,48.05,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.8115,0.0,276.0,5.07
Кейс Diamonds. Поиск выбросов,Другое,1.0,13.0,0.0,6.0,1.0,1.25,8.0,59.12,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.8063,1.0,388.0,1.29
Как со мной связаться. Viber,Другое,0.0,0.0,0.0,111.0,1.0,1.1842,114.0,10.37,0.0,0.0,0.0,0.0,0.0,1.0,135.0,0.7969,0.0,70.0,2.86
Гиперболы. Тема,Тема,0.0,8.0,0.0,10.0,5.0,1.0,15.0,29.95,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.7963,0.0,359.0,2.79
Матрица квадратичной формы. Вопросы,Вопросы,0.0,44.0,1.0,41.0,1.0,1.2093,43.0,28.09,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.7952,0.0,813.0,4.18
Пересечения и суммы подпространств. Ответы,Ответы,1.0,49.0,0.0,26.0,0.0,1.1852,27.0,31.1,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.7933,0.0,401.0,5.49
Решение линейных систем методом Крамера. Вопросы,Вопросы,1.0,49.0,2.0,53.0,0.0,1.2642,53.0,33.29,0.0,0.0,0.0,0.0,0.0,2.0,67.0,0.7868,0.0,542.0,4.24
Симметрические операторы. Дополнение к теме,Другое,0.0,4.0,0.0,10.0,1.0,1.25,12.0,28.63,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.7849,0.0,127.0,6.3
Вычисление ранга матрицы методом Гаусса. Вопросы,Вопросы,0.0,64.0,9.0,71.0,6.0,1.1266,79.0,33.19,0.0,0.0,0.0,0.0,0.0,1.0,89.0,0.7796,0.0,728.0,6.59
Замена базиса. Вопросы,Вопросы,0.0,49.0,0.0,39.0,0.0,1.15,40.0,40.21,0.0,1.0,0.0,0.0,0.0,2.0,46.0,0.7758,1.0,876.0,3.2
Графическое представление распределения. Ответы,Ответы,0.0,20.0,0.0,21.0,1.0,1.0909,22.0,57.19,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.774,0.0,111.0,5.41
Матрица линейного оператора в новом базисе. Ответы,Ответы,0.0,44.0,10.0,33.0,0.0,1.3824,34.0,24.31,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.7712,0.0,450.0,6.44
Датафреймы pandas. Добавление столбцов,Другое,0.0,68.0,0.0,7.0,28.0,1.1429,35.0,47.17,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.7704,0.0,373.0,4.83
Интерполяция. Вопросы,Вопросы,0.0,60.0,0.0,49.0,2.0,1.0769,52.0,38.71,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.7646,0.0,812.0,4.8
Исследования функций. Ответы,Ответы,0.0,16.0,0.0,6.0,3.0,1.5,10.0,30.6,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.7613,0.0,97.0,6.19
Производная по направлению. Ответы,Ответы,2.0,34.0,0.0,20.0,12.0,1.1515,33.0,26.39,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.7576,0.0,410.0,7.8
Многомерные эллипсоиды. Еще один пример,Пример,0.0,4.0,0.0,4.0,0.0,1.25,4.0,42.8,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.7543,0.0,281.0,1.07
Монотонные последовательности. Вопросы,Вопросы,0.0,84.0,0.0,53.0,8.0,1.129,62.0,32.08,0.0,0.0,0.0,0.0,0.0,1.0,70.0,0.7423,0.0,890.0,5.73
Классическое определение вероятности. Ответы,Ответы,1.0,33.0,0.0,35.0,0.0,1.0,35.0,63.19,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.7372,0.0,195.0,5.13
Матрица линейного отображения в новых базисах. Ответы,Ответы,0.0,8.0,0.0,17.0,3.0,1.4,20.0,18.08,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.7313,0.0,423.0,3.07
Формула Бернулли. Ответы,Ответы,0.0,4.0,0.0,24.0,1.0,1.08,25.0,60.89,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.7307,0.0,64.0,7.81
Таблица интегралов. Тема,Тема,0.0,16.0,5.0,6.0,6.0,1.1667,12.0,31.31,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.727,0.0,117.0,9.4
Формулы Бейеса. Вопросы,Вопросы,0.0,12.0,0.0,25.0,1.0,1.0769,26.0,51.06,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.7268,0.0,196.0,3.06
Отбор компонент. Анализ коэффициентов регрессионной задачи,Другое,0.0,0.0,0.0,7.0,0.0,1.2857,7.0,43.7,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.7255,0.0,410.0,0.73
Регрессия. Пример,Пример,0.0,4.0,0.0,8.0,8.0,1.125,16.0,26.6,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.7117,0.0,258.0,4.65
Ядро и образ линейного оператора. Вопросы,Вопросы,0.0,56.0,5.0,46.0,0.0,1.1739,46.0,30.7,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.7092,0.0,712.0,4.92
Криволинейный интеграл второго рода в параметрическом случае. Тема,Тема,0.0,12.0,5.0,12.0,2.0,1.2143,14.0,36.01,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.7006,0.0,222.0,4.95
Сдвиг дискретной случайной величины. Ответы,Ответы,0.0,12.0,0.0,16.0,0.0,1.0,16.0,60.56,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.6971,0.0,93.0,4.3
Сложение вероятностей в несовместном случае. Вопросы,Вопросы,0.0,16.0,0.0,25.0,0.0,1.36,25.0,46.9,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.6954,0.0,180.0,5.0
Последовательности. Вопросы,Вопросы,1.0,49.0,0.0,34.0,1.0,1.1143,35.0,39.15,0.0,0.0,0.0,0.0,0.0,1.0,39.0,0.6913,0.0,417.0,6.0
Регрессия. Тема,Тема,0.0,20.0,0.0,10.0,12.0,1.0435,23.0,32.79,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.6865,0.0,236.0,8.05
Непрерывность функции двух переменных. Ответы,Ответы,0.0,36.0,1.0,25.0,5.0,1.1,30.0,45.53,0.0,0.0,0.0,0.0,0.0,-1.0,33.0,0.6844,0.0,181.0,9.39
Матрица линейного оператора в новом базисе. Вопросы,Вопросы,0.0,96.0,11.0,49.0,3.0,1.4038,52.0,23.52,0.0,0.0,0.0,0.0,0.0,1.0,73.0,0.6725,0.0,728.0,6.04
"Бесконечно малые, бесконечно большие и ограниченные функции. Ответы",Ответы,0.0,25.0,0.0,9.0,3.0,1.2143,14.0,52.33,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.6721,0.0,167.0,3.59
Пересечения и суммы подпространств. Вопросы,Вопросы,0.0,56.0,0.0,33.0,0.0,1.3429,35.0,29.41,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.672,0.0,563.0,5.51
Произведение независимых дискретных случайных величин. Ответы,Ответы,0.0,12.0,0.0,13.0,2.0,1.0,15.0,56.04,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.6632,0.0,110.0,3.64
Классическое определение вероятности. Вопросы,Вопросы,0.0,24.0,0.0,31.0,0.0,1.0645,31.0,62.76,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.6501,0.0,216.0,5.09
Параболы. Пример,Пример,1.0,17.0,0.0,6.0,11.0,1.2222,18.0,28.9,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.6482,0.0,448.0,4.46
Ограниченные последовательности. Вопросы,Вопросы,1.0,157.0,3.0,68.0,7.0,1.0779,77.0,30.69,0.0,0.0,0.0,0.0,0.0,1.0,83.0,0.6439,0.0,1090.0,5.87
Линейность неопределенного интеграла. Тема,Тема,0.0,4.0,0.0,8.0,9.0,1.0588,17.0,24.52,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.6436,0.0,92.0,8.7
Датафреймы pandas. Создание датафрейма из массива,Другое,0.0,0.0,0.0,4.0,8.0,1.3333,12.0,21.31,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.6393,0.0,318.0,2.2
Среднее квадратичное отклонение. Ответы,Ответы,0.0,4.0,0.0,18.0,18.0,1.0811,37.0,27.83,0.0,2.0,2.0,0.0,0.0,2.0,40.0,0.6371,2.0,150.0,8.0
Свойства математического ожидания. Ответы,Ответы,0.0,12.0,0.0,12.0,0.0,1.0714,14.0,51.24,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.634,0.0,146.0,2.74
Ортогональность. Ответы,Ответы,0.0,24.0,0.0,21.0,0.0,1.0455,22.0,27.62,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.6281,0.0,411.0,4.14
Биномиальное распределение. Ответы,Ответы,1.0,29.0,0.0,20.0,1.0,1.1429,21.0,58.09,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.6273,0.0,112.0,5.36
Решение линейных систем методом Гаусса. Вопросы,Вопросы,0.0,32.0,0.0,47.0,1.0,1.0833,48.0,34.14,0.0,0.0,0.0,0.0,0.0,2.0,52.0,0.6263,0.0,484.0,3.51
Решение однородных линейных систем. Вопросы,Вопросы,1.0,45.0,3.0,42.0,0.0,1.1905,42.0,35.63,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.6235,0.0,559.0,4.47
Скалярное кратное дискретной случайной величины. Ответы,Ответы,0.0,4.0,0.0,16.0,0.0,1.0625,16.0,60.4,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.6161,0.0,93.0,4.3
Понижение размерности данных при помощи сингулярного разложения. Ответы,Ответы,0.0,16.0,0.0,15.0,0.0,1.2667,15.0,29.38,0.0,0.0,0.0,0.0,0.0,-1.0,19.0,0.6157,0.0,334.0,2.99
Дисперсия дискретной случайной величины. Ответы,Ответы,0.0,0.0,0.0,12.0,1.0,1.0714,14.0,38.01,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.6144,0.0,133.0,6.02
Изменение порядка интегрирования в повторном интеграле. Тема,Тема,0.0,4.0,0.0,7.0,4.0,1.2,10.0,19.03,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.6128,0.0,148.0,4.05
Размещения. Вопросы,Вопросы,0.0,16.0,0.0,32.0,0.0,1.3125,32.0,51.9,0.0,0.0,0.0,0.0,0.0,-1.0,42.0,0.6116,0.0,270.0,5.56
Визуализация в matplotlib. Метод plot,Другое,0.0,4.0,0.0,11.0,1.0,1.1667,12.0,29.38,0.0,1.0,0.0,0.0,0.0,1.0,14.0,0.6113,1.0,310.0,2.58
Кейс Diamonds. Чтение данных,Другое,0.0,12.0,0.0,7.0,1.0,1.2222,9.0,43.85,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.607,0.0,358.0,1.12
Преобразования дифференциала. Тема,Тема,0.0,8.0,0.0,5.0,4.0,1.3333,9.0,31.22,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.6047,0.0,65.0,4.62
Криволинейный интеграл первого рода. Вопросы,Вопросы,0.0,88.0,4.0,38.0,2.0,1.1905,42.0,38.13,0.0,0.0,0.0,0.0,0.0,2.0,50.0,0.5931,0.0,750.0,5.2
Сложение вероятностей в общем случае. Вопросы,Вопросы,0.0,12.0,0.0,22.0,0.0,1.2273,22.0,50.55,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.5876,0.0,189.0,2.65
