Название видео,Тип видео,Клики по элементам конечной заставки,Показы элементов конечной заставки,Показы тизеров,Постоянные зрители,Новые зрители,Среднее число просмотров одним пользователем,Уникальные зрители,Средний процент просмотра (%),Отказались от подписки,Новые подписчики,Новые комментарии,Поделились,"Отметки ""Не нравится""","Отметки ""Нравится""",Просмотры,Время просмотра (часы),Подписчики,Показы,CTR для значков видео (%)
Гладкие кривые. Ответы,Ответы,0.0,16.0,4.0,16.0,1.0,1.2778,18.0,29.79,0.0,0.0,0.0,0.0,0.0,1.0,23.0,0.5862,0.0,592.0,2.87
Разложение по базису. Вопросы,Вопросы,0.0,46.0,0.0,27.0,1.0,1.1724,29.0,48.87,0.0,0.0,0.0,2.0,0.0,0.0,34.0,0.5861,0.0,465.0,4.95
Ортогональная проекция и ортогональная составляющая. Ответы,Ответы,0.0,36.0,0.0,26.0,14.0,1.075,40.0,20.97,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.586,0.0,438.0,3.42
Объем цилиндрического тела. Тема,Тема,0.0,4.0,2.0,11.0,14.0,1.2917,24.0,13.18,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.5856,0.0,170.0,5.88
Математическое ожидание геометрического распределения. Ответы,Ответы,0.0,16.0,0.0,14.0,0.0,1.4118,17.0,36.5,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.5816,0.0,156.0,4.49
Свойства дисперсии. Ответы,Ответы,0.0,0.0,0.0,7.0,5.0,1.0,13.0,45.56,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.5775,0.0,135.0,2.22
Кейс Diamonds. Предварительный анализ данных,Другое,0.0,20.0,0.0,6.0,6.0,1.1538,13.0,46.66,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.5735,0.0,394.0,1.78
Ортогональная проекция на подпространство. Ответы,Ответы,0.0,20.0,1.0,21.0,1.0,1.1818,22.0,25.43,0.0,0.0,0.0,0.0,0.0,1.0,26.0,0.5729,0.0,430.0,3.26
Сингулярные разложения. Пример неверного решения,Пример,0.0,0.0,0.0,5.0,0.0,2.6,5.0,18.19,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.5713,0.0,1010.0,0.69
Кейс Diamonds. Ранговое кодирование категориальных данных,Другое,0.0,12.0,0.0,8.0,0.0,1.1111,9.0,31.73,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.5676,0.0,373.0,1.07
Несобственные интегралы второго рода. Тема,Тема,0.0,8.0,0.0,13.0,6.0,1.1579,19.0,17.62,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.5641,0.0,173.0,10.4
Линейность и аддитивность криволинейного интеграла первого рода. Ответы,Ответы,1.0,17.0,5.0,13.0,0.0,1.4615,13.0,53.4,0.0,0.0,0.0,0.0,0.0,2.0,19.0,0.5637,0.0,438.0,3.42
Линейные отображения. Вопросы,Вопросы,0.0,32.0,0.0,26.0,0.0,1.3077,26.0,32.97,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.5636,0.0,598.0,3.34
Способы задания функций. Ответы,Ответы,0.0,15.0,0.0,8.0,0.0,1.125,8.0,61.91,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.5634,0.0,123.0,1.63
Линейность и аддитивность двойного интеграла. Тема,Тема,0.0,4.0,0.0,8.0,4.0,1.1667,12.0,22.79,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.561,0.0,197.0,4.06
Математическое ожидание дискретной случайной величины. Ответы,Ответы,0.0,8.0,0.0,17.0,3.0,1.0952,21.0,44.62,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.5587,0.0,163.0,6.75
Алгебраические формы произвольных степеней. Ответы,Ответы,1.0,33.0,0.0,22.0,0.0,1.2727,22.0,29.53,0.0,0.0,0.0,0.0,0.0,1.0,28.0,0.5559,0.0,491.0,3.05
Линейная регрессия в sklearn. Визуализация модели,Другое,0.0,8.0,0.0,6.0,14.0,1.3,20.0,27.58,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.5557,0.0,393.0,2.8
Ортогональное дополнение. Ответы,Ответы,0.0,28.0,0.0,14.0,0.0,1.2,15.0,35.91,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.5548,0.0,450.0,3.11
Необходимое условие дифференцируемости. Ответы,Ответы,0.0,19.0,0.0,16.0,3.0,1.1053,19.0,47.08,0.0,0.0,0.0,0.0,0.0,1.0,21.0,0.5493,0.0,160.0,6.88
Критерий линейной зависимости. Ответы,Ответы,0.0,32.0,0.0,28.0,1.0,1.2414,29.0,29.92,0.0,0.0,0.0,0.0,0.0,1.0,36.0,0.5446,0.0,476.0,3.36
Приведение квадратичной формы к каноническому виду. Ответы,Ответы,0.0,8.0,0.0,27.0,1.0,1.1429,28.0,20.11,0.0,0.0,0.0,0.0,0.0,1.0,32.0,0.5417,0.0,431.0,4.64
Исследования функций. Тема,Тема,0.0,12.0,0.0,8.0,0.0,1.2222,9.0,57.46,0.0,0.0,0.0,0.0,0.0,-1.0,11.0,0.5408,0.0,84.0,3.57
Точная квадратичная интерполяция. Ответы,Ответы,0.0,16.0,0.0,10.0,0.0,1.1818,11.0,28.06,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.532,0.0,112.0,6.25
Эллипсы. Пример,Пример,0.0,20.0,0.0,13.0,3.0,1.125,16.0,23.81,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.5309,0.0,402.0,3.23
Распределения компонент. Тема,Тема,0.0,8.0,0.0,7.0,0.0,1.0,7.0,44.32,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.5136,0.0,178.0,3.37
Сумма независимых дискретных случайных величин. Ответы,Ответы,0.0,12.0,0.0,17.0,1.0,1.1667,18.0,36.73,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.5121,0.0,133.0,3.76
Анализ данных. Магистратура СамГТУ,Другое,0.0,0.0,0.0,76.0,6.0,1.1084,83.0,41.28,0.0,0.0,0.0,0.0,0.0,1.0,92.0,0.5063,0.0,223.0,4.48
Предел функции. Ответы,Ответы,0.0,32.0,0.0,12.0,0.0,1.0833,12.0,69.15,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.4994,0.0,188.0,2.13
Метод наименьших квадратов. Ответы,Ответы,0.0,0.0,1.0,16.0,7.0,1.2609,23.0,13.71,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.4994,0.0,166.0,7.83
Как со мной связаться. Facebook,Другое,0.0,0.0,0.0,58.0,2.0,1.1,60.0,13.12,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.4978,0.0,98.0,0.0
Биномиальное распределение. Вопросы,Вопросы,0.0,12.0,0.0,17.0,0.0,1.1176,17.0,52.85,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.4881,0.0,172.0,4.07
Ортогональная проекция на подпространство. Вопросы,Вопросы,1.0,45.0,0.0,39.0,1.0,1.225,40.0,24.77,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.4855,0.0,648.0,4.32
Свойства ковариации. Дополнение к теме,Другое,0.0,4.0,4.0,13.0,2.0,1.0667,15.0,22.01,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.4813,0.0,169.0,6.51
Матрица линейного отображения. Вопросы,Вопросы,1.0,49.0,0.0,20.0,0.0,1.4,20.0,32.15,0.0,0.0,0.0,0.0,0.0,1.0,28.0,0.4777,0.0,521.0,2.69
Криволинейные координаты. Ответы,Ответы,0.0,4.0,0.0,8.0,0.0,1.125,8.0,41.89,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.4733,0.0,133.0,4.51
Среднее значение функции двух переменных на компактной области. Ответы,Ответы,0.0,12.0,0.0,9.0,2.0,1.2727,11.0,35.33,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.4726,0.0,123.0,6.5
Гладкие кривые. Вопросы,Вопросы,0.0,32.0,0.0,24.0,1.0,1.2308,26.0,32.36,0.0,0.0,0.0,0.0,0.0,1.0,32.0,0.4718,0.0,672.0,3.27
Датафреймы pandas. Добавление строк,Другое,0.0,0.0,0.0,9.0,9.0,1.2222,18.0,27.14,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.4711,0.0,370.0,3.78
Геометрический смысл двойного интеграла. Вопросы,Вопросы,0.0,12.0,0.0,11.0,1.0,1.2857,14.0,33.02,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.4689,0.0,186.0,5.91
Матрица линейного оператора. Вопросы,Вопросы,0.0,60.0,0.0,30.0,0.0,1.2,30.0,30.99,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.4617,0.0,560.0,4.64
Решение неоднородных линейных систем. Вопросы,Вопросы,0.0,36.0,0.0,33.0,2.0,1.0571,35.0,38.36,0.0,0.0,0.0,0.0,0.0,1.0,37.0,0.4613,0.0,375.0,2.67
Задачи на максимум и минимум. Тема,Тема,0.0,4.0,0.0,2.0,16.0,1.2778,18.0,11.62,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.4601,0.0,144.0,9.72
Коэффициент корреляции. Ответы,Ответы,0.0,8.0,0.0,11.0,0.0,1.1818,11.0,33.04,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.4521,0.0,174.0,5.75
Решение линейных систем методом матричного обращения. Вопросы,Вопросы,0.0,52.0,2.0,41.0,0.0,1.1951,41.0,36.47,0.0,0.0,0.0,0.0,0.0,3.0,49.0,0.4518,0.0,468.0,4.49
Полиномиальная регрессия. Пример. Более точное решение,Пример,0.0,4.0,0.0,6.0,4.0,1.0,11.0,34.04,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.4514,0.0,373.0,1.34
Сдвиг дискретной случайной величины. Вопросы,Вопросы,0.0,8.0,0.0,10.0,0.0,1.1818,11.0,60.67,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.4513,0.0,108.0,3.7
Критерий Сильвестра. Ответы,Ответы,0.0,20.0,0.0,23.0,5.0,1.0357,28.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.4474,0.0,519.0,2.89
Сингулярные разложения. Вопросы,Вопросы,0.0,28.0,0.0,22.0,1.0,1.1304,23.0,40.48,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.4474,0.0,700.0,2.86
Двойной интеграл в прямоугольных координатах. Тема,Тема,0.0,0.0,0.0,7.0,1.0,1.25,8.0,22.83,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.447,0.0,129.0,6.2
Линейность и аддитивность криволинейного интеграла первого рода. Вопросы,Вопросы,0.0,24.0,5.0,18.0,0.0,1.4444,18.0,30.92,0.0,0.0,0.0,0.0,0.0,1.0,26.0,0.4466,0.0,485.0,4.33
Массивы numpy. Импорт библиотек,Другое,0.0,20.0,0.0,18.0,0.0,1.2778,18.0,25.04,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.4464,0.0,361.0,4.71
Знакоорпеделнность квадратичных форм. Ответы,Ответы,0.0,20.0,0.0,12.0,0.0,1.0833,12.0,46.63,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.4462,0.0,329.0,2.43
Отбор компонент. Чтение данных и решение регрессионной задачи,Другое,0.0,0.0,0.0,9.0,1.0,1.0,10.0,47.08,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.4446,0.0,415.0,0.96
Многомерные эллипсоиды. Пример,Пример,0.0,4.0,0.0,5.0,0.0,1.0,5.0,46.47,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.4408,0.0,284.0,1.76
"Полиномиальная регрессия. Построение, обучение и визуализация кубической модели",Другое,0.0,16.0,0.0,14.0,5.0,1.1,20.0,28.6,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.4387,0.0,389.0,2.31
Параболы. Тема,Тема,0.0,12.0,0.0,9.0,1.0,1.0,10.0,27.4,0.0,0.0,0.0,0.0,0.0,-1.0,10.0,0.4384,0.0,315.0,2.54
Дисперсия геометрического распределения. Ответы,Ответы,0.0,12.0,0.0,6.0,0.0,1.0,7.0,74.04,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.4334,0.0,108.0,1.85
Отбор компонент. Импорт библиотек,Другое,0.0,0.0,0.0,12.0,1.0,1.1538,13.0,54.53,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.4272,0.0,435.0,2.3
Сингулярные разложения. Метод np.linalg.svd и классическая алгебра,Другое,0.0,0.0,0.0,6.0,3.0,1.3333,9.0,21.21,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.4235,0.0,909.0,0.66
Ортогональные операторы. Вопросы,Вопросы,0.0,24.0,0.0,14.0,0.0,1.5,14.0,35.36,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.4187,0.0,421.0,3.09
Кейс Diamonds. Переход к сингулярному базису,Другое,0.0,0.0,0.0,24.0,5.0,1.1034,29.0,10.42,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.4139,0.0,1644.0,1.58
Сингулярные разложения.  Метод svd библиотеки numpy,Другое,0.0,0.0,0.0,11.0,3.0,1.2857,14.0,24.54,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.4136,0.0,746.0,0.4
Линейная регрессия методом наименьших квдаратов. Еще один пример,Пример,0.0,0.0,0.0,5.0,0.0,1.2,5.0,26.37,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.4127,0.0,369.0,1.36
Кейс Diamonds. Подавление выбросов,Другое,0.0,8.0,0.0,6.0,1.0,1.125,8.0,31.08,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.4118,0.0,379.0,1.06
Многомерные эллипсоиды. Тема,Тема,1.0,13.0,0.0,9.0,2.0,1.0,11.0,32.39,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.4098,0.0,287.0,1.74
Кейс Diamonds. Построение и обучение квадратичной модели,Другое,0.0,4.0,0.0,6.0,0.0,1.1429,7.0,28.03,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.408,0.0,375.0,1.33
Свойства сходящихся последовательностей. Ответы,Ответы,0.0,20.0,0.0,12.0,2.0,1.3571,14.0,32.48,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.4045,0.0,225.0,5.78
Ортогональность. Вопросы,Вопросы,0.0,28.0,0.0,21.0,2.0,1.08,25.0,47.22,0.0,1.0,0.0,0.0,0.0,1.0,27.0,0.4037,1.0,659.0,2.88
Алгебраические формы произвольных степеней. Вопросы,Вопросы,0.0,40.0,0.0,29.0,0.0,1.1724,29.0,33.35,0.0,0.0,0.0,0.0,0.0,1.0,34.0,0.4031,0.0,533.0,3.38
Сингулярные разложения. Ответы,Ответы,0.0,20.0,0.0,11.0,2.0,1.3077,13.0,47.24,0.0,0.0,0.0,1.0,1.0,0.0,17.0,0.4016,0.0,520.0,1.73
Аксиомы скалярного произведения. Ответы,Ответы,0.0,20.0,0.0,11.0,1.0,1.0769,13.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.4007,0.0,387.0,1.81
Формула полной вероятности. Вопросы,Вопросы,0.0,8.0,0.0,23.0,0.0,1.0,23.0,47.1,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.4002,0.0,210.0,1.9
Коэффициент корреляции. Вопросы,Вопросы,1.0,53.0,2.0,25.0,1.0,1.0714,28.0,34.53,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.4,0.0,455.0,5.71
Визуализация в matplotlib. Координатная сетка,Другое,0.0,8.0,0.0,7.0,1.0,1.375,8.0,22.18,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.3999,0.0,320.0,1.56
Визуализация в matplotlib. Несколько замечаний,Другое,0.0,4.0,0.0,5.0,0.0,1.0,5.0,38.67,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.3953,0.0,302.0,0.99
Матрица квадратичной формы. Ответы,Ответы,0.0,44.0,2.0,34.0,2.0,1.0833,36.0,26.57,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.3943,0.0,499.0,4.61
Математическое ожидание дискретной случайной величины. Вопросы,Вопросы,0.0,20.0,0.0,14.0,0.0,1.1333,15.0,51.97,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.3878,0.0,185.0,4.32
Якобиан. Вопросы,Вопросы,0.0,36.0,0.0,28.0,4.0,1.0938,32.0,34.14,0.0,0.0,0.0,0.0,0.0,1.0,35.0,0.385,0.0,503.0,5.57
Интегрирование по частям. Тема,Тема,0.0,4.0,6.0,3.0,0.0,1.6667,3.0,40.36,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.375,0.0,43.0,4.65
Производная неявной функции. Ответы,Ответы,0.0,8.0,0.0,10.0,0.0,1.3,10.0,45.48,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.3745,0.0,122.0,7.38
"Интегралы, сводящиеся к себе. Тема",Тема,0.0,4.0,0.0,2.0,8.0,1.5,10.0,18.28,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.3717,0.0,51.0,1.96
Порядок малости. Вопросы,Вопросы,0.0,60.0,0.0,24.0,5.0,1.1333,30.0,36.66,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.3704,0.0,397.0,4.53
Среднее квадратичное отклонение. Вопросы,Вопросы,0.0,44.0,3.0,16.0,8.0,1.08,25.0,46.05,0.0,0.0,0.0,0.0,0.0,1.0,27.0,0.3695,0.0,246.0,6.91
Предел функции двух переменных. Вопросы,Вопросы,0.0,56.0,0.0,27.0,1.0,1.2963,27.0,29.81,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.3681,0.0,328.0,6.71
Произведение линейных операторов. Ответы,Ответы,0.0,20.0,0.0,9.0,0.0,1.0,10.0,49.73,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.3674,0.0,410.0,0.98
Вычисление криволинейного интеграла первого рода в параметрическом случае. Ответы,Ответы,0.0,0.0,3.0,10.0,2.0,1.0833,12.0,21.49,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.3655,0.0,305.0,2.95
Натуральные степени дискретных случайных величин. Ответы,Ответы,0.0,8.0,0.0,14.0,0.0,1.0,14.0,62.71,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.3634,0.0,49.0,4.08
Градиент. Ответы,Ответы,0.0,20.0,1.0,12.0,0.0,1.3077,13.0,32.45,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.3617,0.0,159.0,6.29
Частные производные. Ответы,Ответы,0.0,32.0,2.0,12.0,0.0,1.3333,12.0,40.53,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.3603,0.0,147.0,5.44
Ортогональное дополнение. Вопросы,Вопросы,0.0,16.0,0.0,20.0,0.0,1.1905,21.0,28.95,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.3598,0.0,513.0,3.51
Сингулярные разложения. Свойства ортогональных матриц,Другое,0.0,0.0,0.0,7.0,1.0,1.25,8.0,19.72,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.3582,0.0,798.0,0.5
Метод наименьших квадратов. Вопросы,Вопросы,0.0,40.0,7.0,22.0,0.0,1.1818,22.0,36.94,0.0,0.0,0.0,0.0,0.0,1.0,26.0,0.3521,0.0,592.0,2.2
Закон распределения дискретной случайной величины. Вопросы,Вопросы,0.0,24.0,0.0,17.0,1.0,1.1579,19.0,42.37,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.3521,0.0,148.0,4.05
Основные преобразования плоскости. Ответы,Ответы,0.0,20.0,0.0,13.0,0.0,1.0769,13.0,35.77,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.3519,0.0,509.0,1.77
Дисперсия биномиального распределения. Ответы,Ответы,0.0,4.0,0.0,6.0,0.0,1.0,7.0,74.57,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.3509,0.0,110.0,0.91
Проективная плоскость и проективные операторы. Тема,Тема,0.0,1.0,0.0,6.0,6.0,1.25,12.0,11.35,0.0,0.0,0.0,0.0,1.0,1.0,15.0,0.3506,0.0,163.0,4.91
Свойства математического ожидания. Вопросы,Вопросы,0.0,4.0,0.0,13.0,0.0,1.1429,14.0,45.75,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.3497,0.0,194.0,3.09
Производная по направлению. Вопросы,Вопросы,0.0,32.0,2.0,25.0,0.0,1.1923,26.0,24.6,0.0,0.0,0.0,0.0,0.0,1.0,31.0,0.3475,0.0,354.0,6.21
Определение двойного интеграла. Ответы,Ответы,0.0,8.0,0.0,5.0,0.0,2.0,5.0,40.51,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.3466,0.0,154.0,4.55
Связь линейных систем и линейных оболочек. Вопросы,Вопросы,0.0,24.0,0.0,32.0,0.0,1.1875,32.0,25.98,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.3456,0.0,488.0,3.89
Датафреймы pandas. Удаление столбцов,Другое,0.0,8.0,0.0,9.0,6.0,1.1333,15.0,41.47,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.3447,0.0,351.0,3.7
Сумма независимых дискретных случайных величин. Вопросы,Вопросы,0.0,12.0,0.0,15.0,2.0,1.1765,17.0,42.73,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.3419,0.0,178.0,3.93
Ортогональные операторы. Ответы,Ответы,0.0,20.0,0.0,14.0,1.0,1.3333,15.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.3412,0.0,333.0,2.7
Двойной интеграл в прямоугольных координатах. Ответы,Ответы,0.0,0.0,0.0,6.0,2.0,1.25,8.0,21.22,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.3407,0.0,130.0,5.38
Гиперболы. Пример,Пример,0.0,16.0,0.0,8.0,2.0,1.0,9.0,30.57,0.0,1.0,0.0,0.0,0.0,1.0,9.0,0.34,1.0,340.0,2.06
Линейные отображения. Ответы,Ответы,0.0,16.0,0.0,18.0,0.0,1.1111,18.0,24.38,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.34,0.0,403.0,2.48
Эквивалентные бесконечно малые. Ответы,Ответы,0.0,20.0,0.0,6.0,2.0,1.3333,9.0,39.46,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.3354,0.0,152.0,2.63
Вычисление криволинейного интеграла первого рода в явном случае. Вопросы,Вопросы,0.0,24.0,0.0,21.0,2.0,1.2174,23.0,29.28,0.0,0.0,0.0,0.0,0.0,2.0,28.0,0.3347,0.0,407.0,5.65
Ортогональная проекция и ортогональная составляющая. Вопросы,Вопросы,0.0,32.0,0.0,25.0,1.0,1.2593,27.0,28.83,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.3322,0.0,527.0,4.36
Процесс ортогонализации Грама-Шмидта. Ответы,Ответы,0.0,12.0,0.0,13.0,2.0,1.2667,15.0,13.84,0.0,0.0,0.0,0.0,0.0,1.0,19.0,0.3272,0.0,373.0,3.49
Наклонные асимптоты. Ответы,Ответы,0.0,16.0,0.0,4.0,0.0,1.75,4.0,46.73,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.3262,0.0,67.0,1.49
Отбор компонент. Исключение наименее значимых признаков,Другое,0.0,0.0,0.0,5.0,0.0,1.0,5.0,56.39,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.3258,0.0,416.0,0.48
Функции от матриц. Вопросы,Вопросы,1.0,37.0,0.0,22.0,0.0,1.1818,22.0,32.81,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.3175,0.0,560.0,3.21
Замена переменной в определенном интеграле. Тема,Тема,0.0,8.0,0.0,4.0,0.0,1.25,4.0,43.26,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.3148,0.0,66.0,6.06
Собственные значения и собственные векторы. Ответы,Ответы,0.0,20.0,0.0,13.0,0.0,1.2308,13.0,28.36,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.3139,0.0,404.0,2.48
Геометрический смысл скалярного произведения. Вопросы,Вопросы,0.0,45.0,2.0,22.0,9.0,1.129,31.0,25.25,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.3094,0.0,579.0,3.11
Формула Бернулли. Вопросы,Вопросы,1.0,29.0,0.0,20.0,0.0,1.0,20.0,52.99,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.3091,0.0,186.0,2.69
Понижение ранга матрицы при помощи сингулярного разложения. Вопросы,Вопросы,0.0,8.0,0.0,13.0,5.0,1.0,18.0,19.55,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.3089,0.0,475.0,1.26
Сингулярные разложения. Верное решение на центрированных данных,Другое,0.0,0.0,0.0,11.0,0.0,1.2727,11.0,17.27,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.3083,0.0,760.0,1.32
Действие линейного оператора в матричной форме. Продолжение. Вопросы,Вопросы,0.0,28.0,0.0,14.0,1.0,1.2,15.0,30.65,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.3065,0.0,419.0,1.91
Сумма и скалярное кратное линейных операторов. Ответы,Ответы,0.0,16.0,0.0,9.0,0.0,1.3333,9.0,41.48,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.3056,0.0,437.0,1.6
Задачи на максимум и минимум. Ответы,Ответы,0.0,4.0,0.0,3.0,5.0,1.25,8.0,20.91,0.0,0.0,0.0,2.0,0.0,0.0,10.0,0.305,0.0,145.0,4.14
Непрерывность функции двух переменных. Вопросы,Вопросы,1.0,45.0,2.0,24.0,0.0,1.125,24.0,38.94,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.3038,0.0,251.0,9.16
Градиент. Вопросы,Вопросы,0.0,16.0,5.0,20.0,2.0,1.3043,23.0,30.3,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.303,0.0,511.0,3.72
Криволинейный интеграл второго рода в явном случае. Тема,Тема,0.0,4.0,5.0,9.0,1.0,1.2,10.0,29.67,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.3026,0.0,208.0,3.85
